resultId,raceId,driverId,constructorId,number
104,22,15,10,20
105,22,19,5,15
106,22,6,5,14
107,22,5,3,8
108,22,20,10,21
109,23,0,1,22
110,23,8,2,4
111,23,12,6,2
112,23,16,9,10
113,23,19,5,15
114,23,21,11,17
115,23,5,3,8
116,23,4,1,23
117,23,7,6,1
118,23,3,4,5
119,23,17,11,16
120,23,9,7,12
121,23,14,7,11
122,23,1,2,3
123,23,15,10,20
124,23,2,3,7
125,23,11,4,6
126,23,20,10,21
127,23,13,9,9
128,23,6,5,14
129,24,8,2,4
130,24,1,2,3
131,24,13,9,9
132,24,9,7,12
133,24,12,6,2
134,24,14,7,11
135,24,21,11,17
136,24,19,5,15
137,24,4,1,23
138,24,2,3,7
139,24,17,11,16
140,24,16,9,10
141,24,6,5,14
142,24,20,10,21
143,24,5,3,8
144,24,3,4,5
145,24,11,4,6
146,24,7,6,1
147,24,0,1,22
148,24,15,10,20
149,25,12,6,2
150,25,7,6,1
151,25,14,7,11
152,25,4,1,23
153,25,8,2,4
154,25,16,9,10
155,25,11,4,6
156,25,3,4,5
157,25,13,9,9
158,25,0,1,22
159,25,9,7,12
160,25,19,5,15
161,25,1,2,3
162,25,21,11,17
163,25,5,3,8
164,25,2,3,7
165,25,6,5,14
166,25,20,10,21
167,25,15,10,20
168,25,17,11,16
169,26,0,1,22
170,26,1,2,3
171,26,21,11,17
172,26,7,6,1
173,26,4,1,23
174,26,3,4,5
175,26,14,7,11
176,26,5,3,8
177,26,2,3,7
178,26,16,9,10
179,26,6,5,14
180,26,9,7,12
181,26,12,6,2
182,26,8,2,4
183,26,17,11,16
184,26,11,4,6
185,26,20,10,21
186,26,15,10,20
187,26,19,5,15
188,26,13,9,9
189,27,0,1,22
190,27,11,4,6
191,27,12,6,2
192,27,1,2,3
193,27,4,1,23
194,27,7,6,1
195,27,8,2,4
196,27,19,5,15
197,27,14,7,11
198,27,2,3,7
199,27,3,4,5
200,27,6,5,14
201,27,13,9,9
202,27,5,3,8
203,27,15,10,20
204,27,20,10,21
205,27,17,11,16
206,27,21,11,17
207,27,16,9,10
208,27,9,7,12
209,28,4,1,23
210,28,9,7,12
211,28,7,6,1
212,28,3,4,5
213,28,0,1,22
214,28,11,4,6
215,28,14,7,11
216,28,8,2,4
217,28,16,9,10
218,28,1,2,3
219,28,13,9,9
220,28,17,11,16
221,28,5,3,8
222,28,2,3,7
223,28,20,10,21
224,28,21,11,17
225,28,12,6,2
226,28,6,5,14
227,28,15,10,20
228,28,19,5,15
229,29,12,6,2
230,29,0,1,22
231,29,8,2,4
232,29,4,1,23
233,29,14,7,11
234,29,19,5,15
235,29,9,7,12
236,29,2,3,7
237,29,1,2,3
238,29,6,5,14
239,29,11,4,6
240,29,16,9,10
241,29,17,11,16
242,29,20,10,21
243,29,5,3,8
244,29,21,11,17
245,29,13,9,9
246,29,7,6,1
247,29,15,10,20
248,29,3,4,5
249,30,12,6,2
250,30,1,2,3
251,30,0,1,22
252,30,3,4,5
253,30,19,5,15
254,30,8,2,4
255,30,6,5,14
256,30,16,9,10
257,30,9,7,12
258,30,4,1,23
259,30,13,9,9
260,30,2,3,7
261,30,15,10,20
262,30,5,3,8
263,30,17,11,16
264,30,14,7,11
265,30,20,10,21
266,30,7,6,1
267,30,21,11,17
268,30,11,4,6
269,31,19,5,15
270,31,4,1,23
271,31,8,2,4
272,31,3,4,5
273,31,1,2,3
274,31,12,6,2
275,31,0,1,22
276,31,16,9,10
277,31,7,6,1
278,31,11,4,6
279,31,9,7,12
280,31,5,3,8
281,31,14,7,11
282,31,2,3,7
283,31,17,11,16
284,31,13,9,9
285,31,21,11,17
286,31,6,5,14
287,31,15,10,20
288,31,20,10,21
289,32,3,4,5
290,32,2,3,7
291,32,0,1,22
292,32,9,7,12
293,32,19,5,15
294,32,1,2,3
295,32,13,9,9
296,32,5,3,8
297,32,17,11,16
298,32,4,1,23
299,32,8,2,4
300,32,6,5,14
301,32,12,6,2
302,32,20,10,21
303,32,7,6,1
304,32,14,7,11
305,32,15,10,20
306,32,16,9,10
307,32,21,11,17
308,32,11,4,6
309,33,3,4,5
310,33,8,2,4
311,33,7,6,1
312,33,11,4,6
313,33,14,7,11
314,33,19,5,15
315,33,12,6,2
316,33,16,9,10
317,33,1,2,3
318,33,6,5,14
319,33,2,3,7
320,33,0,1,22
321,33,21,11,17
322,33,17,11,16
323,33,5,3,8
324,33,20,10,21
325,33,4,1,23
326,33,15,10,20
327,33,9,7,12
328,33,13,9,9
329,34,0,1,22
330,34,12,6,2
331,34,7,6,1
332,34,3,4,5
333,34,1,2,3
334,34,8,2,4
335,34,9,7,12
336,34,11,4,6
337,34,19,5,15
338,34,13,9,9
339,34,21,11,17
340,34,5,3,8
341,34,6,5,14
342,34,16,9,10
343,34,2,3,7
344,34,17,11,16
345,34,20,10,21
346,34,4,1,23
347,34,15,10,20
348,34,14,7,11
349,35,12,6,2
350,35,3,4,5
351,35,7,6,1
352,35,19,5,15
353,35,0,1,22
354,35,9,7,12
355,35,4,1,23
356,35,14,7,11
357,35,16,9,10
358,35,1,2,3
359,35,8,2,4
360,35,2,3,7
361,35,17,11,16
362,35,6,5,14
363,35,21,11,17
364,35,15,10,20
365,35,5,3,8
366,35,20,10,21
367,35,11,4,6
368,35,13,9,9
369,36,7,6,6
370,36,3,1,1
371,36,0,1,2
372,36,1,2,9
373,36,20,4,3
374,36,12,6,5
375,36,2,3,16
376,36,22,7,11
377,36,14,7,12
378,36,4,4,4
379,36,21,11,8
380,36,10,8,22
381,36,16,9,15
382,36,23,5,18
383,36,17,11,7
384,36,18,8,23
385,36,15,12,20
386,36,24,3,17
387,36,13,9,14
388,36,8,2,10
389,36,25,5,19
390,36,26,12,21
391,37,3,1,1
392,37,0,1,2
393,37,7,6,6
394,37,1,2,9
395,37,12,6,5
396,37,20,4,3
397,37,14,7,12
398,37,4,4,4
399,37,24,3,17
400,37,16,9,15
401,37,21,11,8
402,37,17,11,7
403,37,10,8,22
404,37,25,5,19
405,37,22,7,11
406,37,18,8,23
407,37,23,5,18
408,37,8,2,10
409,37,2,3,16
410,37,13,9,14
411,37,26,12,21
412,37,15,12,20
413,38,12,6,5
414,38,0,1,2
415,38,7,6,6
416,38,1,2,9
417,38,3,1,1
418,38,8,2,10
419,38,14,7,12
420,38,20,4,3
421,38,4,4,4
422,38,2,3,16
423,38,24,3,17
424,38,22,7,11
425,38,21,11,8
426,38,26,12,21
427,38,15,12,20
428,38,18,8,23
429,38,16,9,15
430,38,13,9,14
431,38,10,8,22
432,38,23,5,18
433,38,17,11,7
434,38,25,5,19
435,39,12,6,5
436,39,0,1,2
437,39,3,1,1
438,39,8,2,10
439,39,13,9,14
440,39,2,3,16
441,39,4,4,4
442,39,10,8,22
443,39,20,4,3
444,39,21,11,8
445,39,18,8,23
446,39,17,11,7
447,39,15,12,20
448,39,26,12,21
449,39,1,2,9
450,39,22,7,11
451,39,23,5,18
452,39,25,5,19
453,39,7,6,6
454,39,14,7,12
455,39,16,9,15
456,39,24,3,17
457,40,3,1,1
458,40,0,1,2
459,40,12,6,5
460,40,20,4,3
461,40,8,2,10
462,40,1,2,9
463,40,24,3,17
464,40,7,6,6
465,40,25,5,19
466,40,21,11,8
467,40,17,11,7
468,40,2,3,16
469,40,4,4,4
470,40,13,9,14
471,40,14,7,12
472,40,22,7,11
473,40,10,8,22
474,40,18,8,23
475,40,26,12,21
476,40,15,12,20
477,40,16,9,15
478,40,23,5,18
479,41,0,1,2
480,41,1,2,9
481,41,24,3,17
482,41,4,4,4
483,41,7,6,6
484,41,10,8,22
485,41,3,1,1
486,41,22,7,11
487,41,16,9,15
488,41,2,3,16
489,41,18,8,23
490,41,21,11,8
491,41,14,7,12
492,41,23,5,18
493,41,26,12,21
494,41,13,9,14
495,41,8,2,10
496,41,15,12,20
497,41,25,5,19
498,41,17,11,7
499,41,12,6,5
500,41,20,4,3
501,42,0,1,2
502,42,3,1,1
503,42,12,6,5
504,42,7,6,6
505,42,4,4,4
506,42,14,7,12
507,42,16,9,15
508,42,19,2,10
509,42,20,4,3
510,42,24,3,17
511,42,18,8,23
512,42,17,11,7
513,42,25,5,19
514,42,15,12,20
515,42,26,12,21
516,42,2,3,16
517,42,23,5,18
518,42,1,2,9
519,42,10,8,22
520,42,13,9,14
521,42,21,11,8
522,42,22,7,11
523,43,7,6,6
524,43,12,6,5
525,43,0,1,2
526,43,8,2,10
527,43,1,2,9
528,43,20,4,3
529,43,3,1,1
530,43,17,11,7
531,43,2,3,16
532,43,22,7,11
533,43,21,11,8
534,43,16,9,15
535,43,13,9,14
536,43,24,3,17
537,43,4,4,4
538,43,10,8,22
539,43,15,12,20
540,43,25,5,19
541,43,26,12,21
542,43,18,8,23
543,43,14,7,12
544,43,23,5,18
545,44,7,6,6
546,44,3,1,1
547,44,0,1,2
548,44,8,2,10
549,44,12,6,5
550,44,1,2,9
551,44,4,4,4
552,44,20,4,3
553,44,21,11,8
554,44,17,11,7
555,44,13,9,14
556,44,2,3,16
557,44,24,3,17
558,44,10,8,22
559,44,26,12,21
560,44,23,5,18
561,44,14,7,12
562,44,18,8,23
563,44,25,5,19
564,44,22,7,11
565,44,15,12,20
566,44,16,9,15
567,45,3,1,1
568,45,12,6,5
569,45,16,9,15
570,45,24,3,17
571,45,13,9,14
572,45,1,2,9
573,45,8,2,10
574,45,4,4,4
575,45,0,1,2
576,45,20,4,3
577,45,21,11,8
578,45,18,8,23
579,45,14,7,12
580,45,7,6,6
581,45,10,8,22
582,45,22,7,11
583,45,27,12,21
584,45,17,11,7
585,45,15,12,20
586,45,2,3,16
587,45,25,5,19
588,45,23,5,18
589,46,0,1,2
590,46,7,6,6
591,46,1,2,9
592,46,3,1,1
593,46,8,2,10
594,46,22,7,11
595,46,2,3,16
596,46,4,4,4
597,46,16,9,15
598,46,14,7,12
599,46,13,9,14
600,46,20,4,3
601,46,12,6,5
602,46,24,3,17
603,46,10,8,22
604,46,19,5,19
605,46,15,12,20
606,46,21,11,8
607,46,23,5,18
608,46,18,8,23
609,46,17,11,7
610,46,28,12,21
611,47,12,6,5
612,47,7,6,6
613,47,3,1,1
614,47,1,2,9
615,47,0,1,2
616,47,4,4,4
617,47,2,3,16
618,47,8,2,10
619,47,20,4,3
620,47,13,9,14
621,47,24,3,17
622,47,22,7,11
623,47,17,11,7
624,47,18,8,23
625,47,23,5,18
626,47,14,7,12
627,47,21,11,8
628,47,10,8,22
629,47,19,5,19
630,47,28,12,21
631,47,15,12,20
632,47,16,9,15
633,48,3,1,1
634,48,0,1,2
635,48,7,6,6
636,48,1,2,9
637,48,8,2,10
638,48,2,3,16
639,48,4,4,4
640,48,17,11,7
641,48,16,9,15
642,48,21,11,8
643,48,14,7,12
644,48,20,4,3
645,48,24,3,17
646,48,18,8,23
647,48,22,7,11
648,48,10,8,22
649,48,23,5,18
650,48,19,5,19
651,48,15,12,20
652,48,28,12,21
653,48,12,6,5
654,48,13,9,14
655,49,7,6,6
656,49,12,6,5
657,49,3,1,1
658,49,0,1,2
659,49,1,2,9
660,49,2,3,16
661,49,16,9,15
662,49,4,4,4
663,49,8,2,10
664,49,22,7,11
665,49,14,7,12
666,49,23,5,18
667,49,21,11,8
668,49,15,12,20
669,49,10,8,22
670,49,18,8,23
671,49,28,12,21
672,49,17,11,7
673,49,24,3,17
674,49,13,9,14
675,49,19,5,19
676,49,20,4,3
677,50,0,1,2
678,50,4,4,4
679,50,7,6,6
680,50,13,9,14
681,50,20,4,3
682,50,12,6,5
683,50,8,2,10
684,50,15,12,20
685,50,23,5,18
686,50,21,11,8
687,50,17,11,7
688,50,28,12,21
689,50,14,7,12
690,50,1,2,9
691,50,10,8,22
692,50,22,7,11
693,50,18,8,23
694,50,2,3,16
695,50,19,5,19
696,50,16,9,15
697,50,3,1,1
698,50,24,3,17
699,51,7,6,6
700,51,3,1,1
701,51,12,6,5
702,51,19,5,19
703,51,17,11,7
704,51,23,5,18
705,51,1,2,9
706,51,13,9,14
707,51,4,4,4
708,51,16,9,15
709,51,20,4,3
710,51,24,3,17
711,51,14,7,12
712,51,10,8,22
713,51,21,11,8
714,51,2,3,16
715,51,28,12,21
716,51,8,2,10
717,51,0,1,2
718,51,22,7,11
719,51,15,12,20
720,51,18,8,23
721,52,7,6,6
722,52,12,6,5
723,52,3,1,1
724,52,2,3,16
725,52,8,2,10
726,52,1,2,9
727,52,0,1,2
728,52,14,7,12
729,52,13,9,14
730,52,5,3,17
731,52,22,7,11
732,52,10,8,22
733,52,23,5,18
734,52,18,8,23
735,52,15,12,20
736,52,21,11,8
737,52,4,4,4
738,52,19,5,19
739,52,17,11,7
740,52,16,9,15
741,52,28,12,21
742,52,20,4,3
743,53,3,4,1
744,53,29,6,5
745,53,7,1,3
746,53,17,11,12
747,53,30,1,4
748,53,16,3,9
749,53,2,3,10
750,53,31,9,15
751,53,12,6,6
752,53,13,9,14
753,53,23,5,20
754,53,1,2,16
755,53,25,5,21
756,53,22,7,7
757,53,21,11,11
758,53,14,7,8
759,53,32,13,18
760,53,10,8,22
761,53,33,8,23
762,53,34,2,17
763,53,20,4,2
764,53,26,13,19
765,54,20,4,2
766,54,3,4,1
767,54,17,11,12
768,54,30,1,4
769,54,12,6,6
770,54,29,6,5
771,54,34,2,17
772,54,22,7,7
773,54,14,7,8
774,54,21,11,11
775,54,23,5,20
776,54,26,13,19
777,54,32,13,18
778,54,10,8,22
779,54,1,2,16
780,54,25,5,21
781,54,33,8,23
782,54,31,9,15
783,54,16,3,9
784,54,13,9,14
785,54,2,3,10
786,54,7,1,3
787,55,3,4,1
788,55,7,1,3
789,55,22,7,7
790,55,1,2,16
791,55,20,4,2
792,55,34,2,17
793,55,21,11,11
794,55,13,9,14
795,55,25,5,21
796,55,17,11,12
797,55,26,13,19
798,55,10,8,22
799,55,33,8,23
800,55,30,1,4
801,55,32,13,18
802,55,23,5,20
803,55,29,6,5
804,55,16,3,9
805,55,31,9,15
806,55,14,7,8
807,55,2,3,10
808,55,12,6,6
